evidence	article_title	abstract_text	evidence.type	relevant
28056459	Influence of Liver Inflammation on Liver Stiffness Measurement in Patients with Autoimmune Hepatitis Evaluation by Combinational Elastography.	OBJECTIVE: In order to evaluate the influence of liver inflammation on liver stiffness measurement (LSM) by the simultaneous use of shear wave and strain imaging (combinational elastography), shear wave and strain imaging were compared before and after initial therapy for autoimmune hepatitis (AIH).METHODS: Nine AIH patients initially treated with steroid were enrolled. Transient elastography and real-time tissue elastography were performed just before and 1 month after the start of initial steroid treatment. Blood samples, LSM, and the liver fibrosis index (LFI) were compared.RESULTS: Aspartate aminotransferase (p = 0.002) and alanine aminotransferase (ALT) (p = 0.015) were significantly decreased after initial treatment. The LSM was 15.5 ± 9.6 kPa at baseline, decreasing to 7.2 ± 2.3 kPa after initial treatment p = 0.034). The LFI was 1.67 ± 0.67 at baseline and 1.61 ± 0.66 after initial treatment; no significant change in LFI was recognized (p = 0.842). Between ΔALT and ΔLSM, a significant regression equation could be calculated as follows: ΔALT = -0.55 + 0.654 × ΔLSM.CONCLUSIONS: Combinational elastography was useful in evaluating not only the degree of liver fibrosis, but also the degree of liver inflammation in AIH.	NA	0
28056456	Bladder Metastases from Lung Cancer: Clinical and Pathological Implications: A Systematic Review.	Lung cancer is the tumor with the highest incidence in males worldwide and the most common cause of death from cancer overall; its high mortality is mostly due to its propensity to spread to other organs through lymphatic and blood vessels in spite of proper treatment. Bladder metastases from lung cancer are rare, with only 11 cases having been reported, all in recent years. This review aims to discuss some critical points regarding this uncommon condition, namely: (a) lung and bladder tumors share similar etiologic features; (b) almost all bladder metastases from lung cancer arise from lung adenocarcinomas; (c) cytology and superficial bladder biopsy may be falsely negative, since the neoplastic cells coming through the hematogenous route are typically located in the lamina propria and/or muscularis propria of the bladder wall; and (d) the differential diagnosis with primary bladder adenocarcinoma as well as primary and secondary small-cell carcinomas may be challenging. Though no definite conclusions can be drawn regarding treatment, we herein propose a practical algorithm to manage such patients based on available data.	NA	0
28056339	Asbestos-Induced Mesothelial to Fibroblastic Transition Is Modulated by the Inflammasome.	Despite the causal relationship established between malignant mesothelioma (MM) and asbestos exposure, the exact mechanism by which asbestos induces this neoplasm and other asbestos-related diseases is still not well understood. MM is characterized by chronic inflammation, which is believed to play an intrinsic role in the origin of this disease. We recently found that asbestos activates the nod-like receptor family member containing a pyrin domain 3 (NLRP3) inflammasome in a protracted manner, leading to an up-regulation of IL-1β and IL-18 production in human mesothelial cells. Combined with biopersistence of asbestos fibers, we hypothesize that this creates an environment of chronic IL-1β signaling in human mesothelial cells, which may promote mesothelial to fibroblastic transition (MFT) in an NLRP3-dependent manner. Using a series of experiments, we found that asbestos induces a fibroblastic transition of mesothelial cells with a gain of mesenchymal markers (vimentin and N-cadherin), whereas epithelial markers, such as E-cadherin, are down-regulated. Use of siRNA against NLRP3, recombinant IL-1β, and IL-1 receptor antagonist confirmed the role of NLRP3 inflammasome-dependent IL-1β in the process. In vivo studies using wild-type and various inflammasome component knockout mice also revealed the process of asbestos-induced mesothelial to fibroblastic transition and its amelioration in caspase-1 knockout mice. Taken together, our data are the first to suggest that asbestos induces mesothelial to fibroblastic transition in an inflammasome-dependent manner.	NA	0
28054203	Molecular explorations of substituted 2-(4-phenylquinolin-2-yl) phenols as phosphoinositide 3-kinase inhibitors and anticancer agents.	PURPOSE: Substituted 2-(4-phenylquinolin-2-yl) phenols (PQPDs) emerged as the inhibitors of phosphoinositide 3-kinase (PI3K) and anticancer agents.METHOD: PI3K inhibition was assessed by competitive ELISA. Anticancer activity was evaluated against breast cancer (MCF-7), skin cancer (G-361), and colon cancer (HCT 116) cell lines.RESULTS: In PI3 Kinase assay, PQPDs 4c, 4d, and 4k were inactive with IC50 &gt;5 µM. IC50 for 4a, 4b, 4f-h, and 4j was ≥0.05 µM. Rest PQPDs IC50 was &lt;1.0 µM. Anticancer activity found selective toward breast cancer (MCF-7); 4a, 4b, and 4j were showed excellent inhibitory (73.95, 68.36, and 70.06%) and IC50 1.16 µM (4a), 2.07 µM (4b), 1.021 µM (4f) and 1.981 µM (4j) while the standard (Doxorubicin) found with IC50 1.812 µM (72% inhibition). PQPDs were docked into the active site of PI3 Kinase p110α (PDB ID: 2RD0). Docking results suggested the hydrophobic interactions in PI3K binding pocket conquered affinity of the most favorable binding ligands [4a, 4b: inhibitory constant (ki) = 53.33, 41.23 pM].CONCLUSION: PI3K assay and cancer cell line experimental results ensured that the inhibitory and anticancer activity potentials of PQPDs are more selective toward breast cancer treatments. PQPDs 4a, 4b, 4f, 4g, and 4j were displayed potent PI3 Kinase and anticancer activities. SAR studies demonstrated PQPDs as the PI3K precise inhibitors with the impending to treat various cancers.	NA	0
28056116	Comparison of Survival Outcomes Among Human Papillomavirus-Negative cT1-2 N1-2b Patients With Oropharyngeal Squamous Cell Cancer Treated With Upfront Surgery vs Definitive Chemoradiation Therapy: An Observational Study.	Human papillomavirus (HPV)-negative oropharyngeal squamous cell carcinoma (OPSCC) has shown resistance to conventional concurrent chemoradiation (CRT) therapy and carries a relatively poor prognosis in comparison with HPV-positive disease, with decreased locoregional control and overall survival (OS). In the present analysis, we examine whether upfront surgical resection improves overall survival in a large national sample.</AbstractText>: Human papillomavirus (HPV)-negative oropharyngeal squamous cell carcinoma (OPSCC) has shown resistance to conventional concurrent chemoradiation (CRT) therapy and carries a relatively poor prognosis in comparison with HPV-positive disease, with decreased locoregional control and overall survival (OS). In the present analysis, we examine whether upfront surgical resection improves overall survival in a large national sample.To compare survival outcomes among patients with newly diagnosed cT1-2 N1-2b HPV-negative OPSCC when treated with primary surgical resection vs CRT.</AbstractText>: To compare survival outcomes among patients with newly diagnosed cT1-2 N1-2b HPV-negative OPSCC when treated with primary surgical resection vs CRT.This was an observational study of factors associated with primary treatment modality were identified using multivariable logistic regression. Overall survival was compared using Kaplan-Meier analysis with log-rank tests, multivariable Cox regression, and propensity score matching. Statistical tests were 2-sided. Patients newly diagnosed as having cT1-2 N1-2b pathologically confirmed HPV-negative OPSCC in 2010 to 2012 were identified using the National Cancer Data Base, which includes more than 70% of patients newly diagnosed as having cancer in the United States.</AbstractText>: This was an observational study of factors associated with primary treatment modality were identified using multivariable logistic regression. Overall survival was compared using Kaplan-Meier analysis with log-rank tests, multivariable Cox regression, and propensity score matching. Statistical tests were 2-sided. Patients newly diagnosed as having cT1-2 N1-2b pathologically confirmed HPV-negative OPSCC in 2010 to 2012 were identified using the National Cancer Data Base, which includes more than 70% of patients newly diagnosed as having cancer in the United States.Primary surgical resection vs definitive CRT.</AbstractText>: Primary surgical resection vs definitive CRT.Overall survival.</AbstractText>: Overall survival.We identified 1044 patients, among whom 460 (44.1%) received upfront surgery and 584 (55.9%) received CRT. Median age was 59 years (range, 25-90 years); 812 patients were male (77.8%), 232 were female (22.2%). Median follow-up was 30 months. Approximately 59% of surgical patients received adjuvant CRT. On multivariable Cox regression, upfront surgery was not associated with increased OS when compared with CRT (adjusted hazard ratio [HR], 1.01; 95% CI, 0.74-1.39; P = .93). Propensity score-matching identified a cohort of 822 patients and redemonstrated equivalent OS (HR, 1.14; 95% CI, 0.81-1.62; P = .46). Lack of OS benefit with upfront surgery persisted in a subset analysis of patients with margin-negative resection (HR, 0.97; 95% CI, 0.66-1.45; P = .88).</AbstractText>: We identified 1044 patients, among whom 460 (44.1%) received upfront surgery and 584 (55.9%) received CRT. Median age was 59 years (range, 25-90 years); 812 patients were male (77.8%), 232 were female (22.2%). Median follow-up was 30 months. Approximately 59% of surgical patients received adjuvant CRT. On multivariable Cox regression, upfront surgery was not associated with increased OS when compared with CRT (adjusted hazard ratio [HR], 1.01; 95% CI, 0.74-1.39; P = .93). Propensity score-matching identified a cohort of 822 patients and redemonstrated equivalent OS (HR, 1.14; 95% CI, 0.81-1.62; P = .46). Lack of OS benefit with upfront surgery persisted in a subset analysis of patients with margin-negative resection (HR, 0.97; 95% CI, 0.66-1.45; P = .88).In this observational study, OS was similar for patients with HPV-negative OPSCC when treated with primary surgery vs CRT. Most surgical patients received trimodal therapy with adjuvant CRT. Our data may have implications for future research focusing on optimal patient selection for surgery.</AbstractText>: In this observational study, OS was similar for patients with HPV-negative OPSCC when treated with primary surgery vs CRT. Most surgical patients received trimodal therapy with adjuvant CRT. Our data may have implications for future research focusing on optimal patient selection for surgery.	NA	2
28056114	Diagnosis and Management of Waldenström Macroglobulinemia: Mayo Stratification of Macroglobulinemia and Risk-Adapted Therapy (mSMART) Guidelines 2016.	Waldenström macroglobulinemia (WM), an IgM-associated lymphoplasmacytic lymphoma, has witnessed several practice-altering advances in recent years. With availability of a wider array of therapies, the management strategies have become increasingly complex. Our multidisciplinary team appraised studies published or presented up to December 2015 to provide consensus recommendations for a risk-adapted approach to WM, using a grading system.</AbstractText>: Waldenström macroglobulinemia (WM), an IgM-associated lymphoplasmacytic lymphoma, has witnessed several practice-altering advances in recent years. With availability of a wider array of therapies, the management strategies have become increasingly complex. Our multidisciplinary team appraised studies published or presented up to December 2015 to provide consensus recommendations for a risk-adapted approach to WM, using a grading system.Waldenström macroglobulinemia remains a rare, incurable cancer, with a heterogeneous disease course. The major classes of effective agents in WM include monoclonal antibodies, alkylating agents, purine analogs, proteasome inhibitors, immunomodulatory drugs, and mammalian target of rapamycin inhibitors. However, the highest-quality evidence from rigorously conducted randomized clinical trials remains scant.</AbstractText>: Waldenström macroglobulinemia remains a rare, incurable cancer, with a heterogeneous disease course. The major classes of effective agents in WM include monoclonal antibodies, alkylating agents, purine analogs, proteasome inhibitors, immunomodulatory drugs, and mammalian target of rapamycin inhibitors. However, the highest-quality evidence from rigorously conducted randomized clinical trials remains scant.Recognizing the paucity of data, we advocate participation in clinical trials, if available, at every stage of WM. Specific indications exist for initiation of therapy. Outside clinical trials, based on the synthesis of available evidence, we recommend bendamustine-rituximab as primary therapy for bulky disease, profound hematologic compromise, or constitutional symptoms attributable to WM. Dexamethasone-rituximab-cyclophosphamide is an alternative, particularly for nonbulky WM. Routine rituximab maintenance should be avoided. Plasma exchange should be promptly initiated before cytoreduction for hyperviscosity-related symptoms. Stem cell harvest for future use may be considered in first remission for patients 70 years or younger who are potential candidates for autologous stem cell transplantation. At relapse, retreatment with the original therapy is reasonable in patients with prior durable responses (time to next therapy ≥3 years) and good tolerability to previous regimen. Ibrutinib is efficacious in patients with relapsed or refractory disease harboring MYD88 L265P mutation. In the absence of neuropathy, a bortezomib-rituximab-based option is reasonable for relapsed or refractory disease. In select patients with chemosensitive disease, autologous stem cell transplantation should be considered at first or second relapse. Everolimus and purine analogs are suitable options for refractory or multiply relapsed WM. Our recommendations are periodically updated as new, clinically relevant information emerges.</AbstractText>: Recognizing the paucity of data, we advocate participation in clinical trials, if available, at every stage of WM. Specific indications exist for initiation of therapy. Outside clinical trials, based on the synthesis of available evidence, we recommend bendamustine-rituximab as primary therapy for bulky disease, profound hematologic compromise, or constitutional symptoms attributable to WM. Dexamethasone-rituximab-cyclophosphamide is an alternative, particularly for nonbulky WM. Routine rituximab maintenance should be avoided. Plasma exchange should be promptly initiated before cytoreduction for hyperviscosity-related symptoms. Stem cell harvest for future use may be considered in first remission for patients 70 years or younger who are potential candidates for autologous stem cell transplantation. At relapse, retreatment with the original therapy is reasonable in patients with prior durable responses (time to next therapy ≥3 years) and good tolerability to previous regimen. Ibrutinib is efficacious in patients with relapsed or refractory disease harboring MYD88 L265P mutation. In the absence of neuropathy, a bortezomib-rituximab-based option is reasonable for relapsed or refractory disease. In select patients with chemosensitive disease, autologous stem cell transplantation should be considered at first or second relapse. Everolimus and purine analogs are suitable options for refractory or multiply relapsed WM. Our recommendations are periodically updated as new, clinically relevant information emerges.	therapeutic	1
28056112	Association of Delayed Adjuvant Chemotherapy With Survival After Lung Cancer Surgery.	Adjuvant chemotherapy offers a survival benefit to a number of staging scenarios in non-small-cell lung cancer. Variable recovery from lung cancer surgery may delay a patient's ability to tolerate adjuvant chemotherapy, yet the urgency of chemotherapy initiation is unclear.</AbstractText>: Adjuvant chemotherapy offers a survival benefit to a number of staging scenarios in non-small-cell lung cancer. Variable recovery from lung cancer surgery may delay a patient's ability to tolerate adjuvant chemotherapy, yet the urgency of chemotherapy initiation is unclear.To assess differences in survival according to the time interval between non-small-cell lung cancer resection and the initiation of postoperative chemotherapy to determine the association between adjuvant treatment timing and efficacy.</AbstractText>: To assess differences in survival according to the time interval between non-small-cell lung cancer resection and the initiation of postoperative chemotherapy to determine the association between adjuvant treatment timing and efficacy.This retrospective observational study examined treatment-naive patients with completely resected non-small-cell lung cancer who received postoperative multiagent chemotherapy between 18 and 127 days after resection between January 2004 and December 2012. The study population was limited to patients with lymph node metastases, tumors 4 cm or larger, or local extension. Patients were identified from the National Cancer Database, a hospital-based tumor registry that captures more than 70% of incident lung cancer cases in the United States. The association between time to initiation of adjuvant chemotherapy and survival was evaluated using Cox models with restricted cubic splines.</AbstractText>: This retrospective observational study examined treatment-naive patients with completely resected non-small-cell lung cancer who received postoperative multiagent chemotherapy between 18 and 127 days after resection between January 2004 and December 2012. The study population was limited to patients with lymph node metastases, tumors 4 cm or larger, or local extension. Patients were identified from the National Cancer Database, a hospital-based tumor registry that captures more than 70% of incident lung cancer cases in the United States. The association between time to initiation of adjuvant chemotherapy and survival was evaluated using Cox models with restricted cubic splines.Adjuvant chemotherapy administered at different time points after surgery.</AbstractText>: Adjuvant chemotherapy administered at different time points after surgery.Effectiveness of adjuvant chemotherapy according to time to initiation after surgery.</AbstractText>: Effectiveness of adjuvant chemotherapy according to time to initiation after surgery.A total of 12 473 patients (median [interquartile range] age, 64 [57-70] years) were identified: 3073 patients (25%) with stage I disease; 5981 patients (48%), stage II; and 3419 patients (27%), stage III. A Cox model with restricted cubic splines identified the lowest mortality risk when chemotherapy was started 50 days postoperatively (95% CI, 39-56 days). Initiation of chemotherapy after this interval (57-127 days; ie, the later cohort) did not increase mortality (hazard ratio [HR], 1.037; 95% CI, 0.972-1.105; P = .27). Furthermore, in a Cox model of 3976 propensity-matched pairs, patients who received chemotherapy during the later interval had a lower mortality risk than those treated with surgery only (HR, 0.664; 95% CI, 0.623-0.707; P &lt; .001).</AbstractText>: A total of 12 473 patients (median [interquartile range] age, 64 [57-70] years) were identified: 3073 patients (25%) with stage I disease; 5981 patients (48%), stage II; and 3419 patients (27%), stage III. A Cox model with restricted cubic splines identified the lowest mortality risk when chemotherapy was started 50 days postoperatively (95% CI, 39-56 days). Initiation of chemotherapy after this interval (57-127 days; ie, the later cohort) did not increase mortality (hazard ratio [HR], 1.037; 95% CI, 0.972-1.105; P = .27). Furthermore, in a Cox model of 3976 propensity-matched pairs, patients who received chemotherapy during the later interval had a lower mortality risk than those treated with surgery only (HR, 0.664; 95% CI, 0.623-0.707; P &lt; .001).In the National Cancer Database, adjuvant chemotherapy remained efficacious when started 7 to 18 weeks after non-small-cell lung cancer resection. Patients who recover slowly from non-small-cell lung cancer surgery may still benefit from delayed adjuvant chemotherapy started up to 4 months after surgery.</AbstractText>: In the National Cancer Database, adjuvant chemotherapy remained efficacious when started 7 to 18 weeks after non-small-cell lung cancer resection. Patients who recover slowly from non-small-cell lung cancer surgery may still benefit from delayed adjuvant chemotherapy started up to 4 months after surgery.	NA	0
28056398	Clinical outcome of myeloid sarcoma in adult patients and effect of allogeneic stem cell transplantation. Results from a multicenter survey.	INTRODUCTION: Myeloid Sarcoma (MS) is a rare hematologic myeloid neoplasm that can involve any site of the body. It can occur as an exclusively extramedullary form or it can be associated with an acute myeloid leukemia (AML), a chronic myeloproliferative neoplasm (MPN) or a myelodysplastic syndrome (MDS) at onset or at relapse. The rarity of MS does not enable prospective clinical trials and therefore a specific multicenter register can be useful for the clinical and biological studies of this rare disease.PATIENTS AND RESULTS: we report the clinical characteristics and outcome of 48 histologically confirmed MS, diagnosed and treated in 9 Italian Hematological Centers in the last 10 years. The patient's median age was 46 years. There were 9/48 de novo extramedullary MS, 24/48 de novo AML-related MS and 15/48 were secondary AML-related MS. The most common extramedullary anatomic sites of disease were: skin, lymph nodes and soft tissues. Forty-three patients (90%) underwent a program of intensive chemotherapy including FLAI, HDAC-IDA, HyperCVAD and MEC schemes, with a DDI of 5% and a CR Rate of 45%. Twenty-two (46%) patients underwent Allogeneic SCT, 13 from a MUD, 8 from an HLA-identical sibling donor and 1 from an haploidentical donor. The median OS of the whole population (48 pts) was 16.7 months. The OS probability at 1, 2 and 5 years was 64%, 39% and 33%, respectively. The OS was better in patients that underwent an intensive therapeutic program (median OS: 18 months vs 5 months). Among the intensively treated patients, in univariate analysis, the OS was better in young patients (P=0,008), in patients that underwent Allo-SCT (P=0,009) and in patients that achieved a CR during treatment (P=0,001), and was worse in pts with secondary AML-related MS (P=0,007). Age, response to intensive chemotherapy and Allo-SCT were the only three variables that significantly influenced DFS (P=0,02, P=0,01 and P=0,04, respectively). In multivariable analysis, Allo-SCT and response to intensive chemotherapy remained significant in predicting a better OS (P=0,04 and P=0,001, respectively), and response to intensive chemotherapy was the only significant variable in predicting DFS (P=0,01). After Allo-SCT we observe a survival advantage in patients who achieved a pre-transplant CR (P=0,008) and in those who developed a chronic GvHD (P=0,05).CONCLUSIONS: Patients with MS, both with de novo and secondary forms, still have a very unfavorable outcome and require an intensive therapeutic program, that includes Allo-SCT whenever possible. The outcome after Allo-SCT is positively influenced by the development of chronic GvHD suggesting a Graft versus MS effect.	NA	0
28053127	Potent EMT and CSC Phenotypes are Induced by Oncostatin-M in Pancreatic Cancer.	Pancreatic ductal adenocarcinoma (PDAC) is referred to as a silent killer due to the lack of clear symptoms, a lack of early detection methods, and a high frequency of metastasis at diagnosis. In addition, pancreatic cancer is remarkably resistant to chemotherapy, and clinical treatment options remain limited. The tumor microenvironment (TME) and associated factors are important determinants of metastatic capacity and drug resistance. Here, oncostatin M (OSM), an IL-6 cytokine family member, was identified as an important driver of mesenchymal and cancer stem cell (CSC) phenotypes. Furthermore, the generation of cells that harbor mesenchymal/CSC properties following OSM exposure resulted in enhanced tumorigenicity, increased metastasis, and resistance to gemcitabine. OSM induced the expression of ZEB1, Snail (SNAI1), and OSM receptor (OSMR), engaging a positive feedback loop to potentiate the mesenchymal/CSC program. Suppression of JAK1/2 by Ruxolitinib prevented STAT3-mediated transcription of ZEB1, SNAI1, and OSMR, as well as the emergence of a mesenchymal/CSC phenotype. Likewise, ZEB1 silencing, by shRNA-mediated knockdown, in OSM-driven mesenchymal/CSC reverted the phenotype back to an epithelial/non-CSC state. Importantly, the generation of cells with mesenchymal/CSC proprties was unique to OSM, and not observed following IL-6 exposure, implicating OSMR and downstream effector signaling as a distinct target in PDAC. Overall, these data demonstrate the capacity of OSM to regulate an epithelial-mesenchymal transition (EMT)/CSC plasticity program that promotes tumorigenic properties.IMPLICATIONS: Therapeutic targeting the OSM/OSMR axis within the TME may prevent or reverse the aggressive mesenchymal and CSC phenotypes associated with poor outcomes in patients with PDAC.	NA	0
28054552	c-Src phosphorylation and activation of hexokinase promotes tumorigenesis and metastasis.	It is well known that c-Src has important roles in tumorigenesis. However, it remains unclear whether c-Src contributes to metabolic reprogramming. Here we find that c-Src can interact with and phosphorylate hexokinases HK1 and HK2, the rate-limiting enzymes in glycolysis. Tyrosine phosphorylation dramatically increases their catalytic activity and thus enhances glycolysis. Mechanistically, c-Src phosphorylation of HK1 at Tyr732 robustly decreases its Km and increases its Vmax by disrupting its dimer formation. Mutation in c-Src phosphorylation site of either HK1 or HK2 remarkably abrogates the stimulating effects of c-Src on glycolysis, cell proliferation, migration, invasion, tumorigenesis and metastasis. Due to its lower Km for glucose, HK1 rather than HK2 is required for tumour cell survival when glucose is scarce. Importantly, HK1-Y732 phosphorylation level remarkably correlates with the incidence and metastasis of various clinical cancers and may serve as a marker to predict metastasis risk of primary cancers.	NA	0
28054140	Meis1 is critical to the maintenance of human acute myeloid leukemia cells independent of MLL rearrangements.	Although the outcome of patients with acute myeloid leukemia (AML) has improved by optimized chemotherapy regimens and bone marrow transplantation, leukemia relapse remains one of the most challenging problems during therapy. Sustained existence of AML blasts is a fundamental determinant for the development of leukemia and resistance to therapy. Recent evidences suggest that Meis1 is tightly associated with the self-renewal capacity of normal hematopoietic stem cells. Meis1 was also found to be essential for the development of mixed lineage leukemia (MLL)-rearranged leukemia. Whether Meis1 functions independently of MLL abnormality in the context of leukemia is unclear. Herein, we identified a distinct expression pattern of Meis1 in patients with newly diagnosed AML without MLL abnormality. High levels of Meis1 expression were found in 64 of 95 (67.4%) AML patients; whereas, 31 of 95 (32.6%) patients showed dramatically lower levels of Meis1, compared with the median level of Meis1 in healthy donors. The whole cohort and subgroup analyses further demonstrated that high Meis1 expression levels were associated with a resistance to conventional chemotherapy, compared with the group with low Meis1 levels (P = 0.014 and P = 0.029, respectively). In vitro knockdown experiments highlighted a role of Meis1 in regulating maintenance and survival of human AML cells. These results implicate that Meis1 functions as an important regulator during the progression of human AML and could be a prognostic factor independent of MLL abnormality.	NA	0
28054192	Five-Year Actual Overall Survival in Resected Pancreatic Cancer: A Contemporary Single-Institution Experience from a Multidisciplinary Perspective.	BACKGROUND: Successful surgical resection combined with effective perioperative therapy is essential for maximizing long-term survival for pancreatic adenocarcinoma.PATIENTS AND METHODS: All patients with pancreatic adenocarcinoma who underwent curative resection at our institution from January 2003 to May 2010 were reviewed. Demographic and clinical details were retrospectively collected from medical records and cancer registry data.RESULTS: Overall, 176 patients were included in the analysis (148 with de novo resectable disease and 28 with borderline resectable disease at presentation). Among 106 patients who received all perioperative therapy at our institution, 94% received neoadjuvant and/or adjuvant treatment in addition to resection. Actual all-cause 5-year overall survival (OS) for all 176 patients was 30.7%, with a median OS of 33.9 months [95% confidence interval (CI) 28.1-39.6 months]. For patients who received all perioperative therapy at our institution, actual all-cause 5-year disease-free survival (DFS) was 32.1%, with a median DFS of 28.8 months (95% CI 20.1-43.6 months). Of these patients, 67/106 (63%) recurred: 8 (8%) locoregional only; 52 (49%) systemic only; and 7 (7%) combined recurrence. No difference in survival rates or recurrence patterns was seen between resectable and borderline resectable patients. In multivariate analysis, tumor differentiation (poor vs. non-poor) and lymph node ratio &gt;20% produced a useful clinical model.CONCLUSION: The actual OS rates for resected pancreatic cancer shown in this study are reflective of those currently achievable at a tertiary medical center dedicated to this patient population. In considering these results, both frequency and type of adjuvant/neoadjuvant therapy administered in the context of the clinical experience/management techniques of providers administering these treatments will be discussed.	NA	0
28054191	Central Venous Pressure Drop After Hypovolemic Phlebotomy is a Strong Independent Predictor of Intraoperative Blood Loss During Liver Resection.	BACKGROUND: Intraoperative hypovolemic phlebotomy (HP) has been suggested to reduce central venous pressure (CVP) before hepatectomy. This study aimed to analyze the impact of CVP drop after HP on intraoperative blood loss and postoperative renal function.METHODS: A retrospective review of a prospective database including 100 consecutive patients (43 males and 57 females; mean age, 65 years; range 23-89 years) undergoing liver resection with HP was performed. The primary outcome variable was estimated blood loss (EBL), and the secondary outcome was postoperative serum creatinin (Scr). A multivariate linear regression analysis was performed to identify predictors of intraoperative blood loss.RESULTS: The median CVP before blood salvage was 8 mmHg (range 4-30 mmHg). The median volume of hypovolemic phlebotomy was 400 ml (range 200-1000 ml). After HP, CVP decreased to a median of 3 mmHg (range -2 to 16 mmHg), resulting in a median CVP drop of 5.5 mmHg (range 2-14 mmHg). The median EBL during liver resection was 165 ml (range 0-800 ml). The median preoperative serum creatinin (Scr) was 0.82 g/dl (range 0.5-1.74 g/dl), and the postoperative Scr on day 1 was 0.74 g/dl (range 0.44-1.68 g/dl). The CVP drop was associated with EBL (P &lt; 0.001). There was no significant impact of CVP drop on postoperative Scr.CONCLUSION: A CVP drop after HP is a strong independent predictor of EBL during liver resection. The authors advocate the routine use of HP to reduce perioperative blood loss and transfusion rates in liver surgery. As a predictive tool, CVP drop might help surgeons decide whether a laparoscopic approach is safe.	NA	0
28054189	Endoscopic Stenting Does Not Worsen Long Term Outcomes Amongst Patients Presenting with Obstruction from Colorectal Cancers.	BACKGROUND: Stenting has been increasingly adopted in colorectal cancer patients presenting with acute large bowel obstruction. However, long-term outcomes of stenting are lacking in the literature. Our study attempts to compare the long-term outcomes of colonic stenting and emergency surgery amongst left-sided colorectal cancer patients presenting with acute large bowel obstruction.METHODS: A retrospective review of all patients who presented with nonmetastatic colorectal cancer who underwent either endoscopic stenting or emergency surgery for acute large bowel obstruction was performed from January 2007 to April 2016. Patients were analysed in an intention-to-treat analysis.RESULTS: Forty-seven (46.1%) patients underwent emergency surgery, whereas 55 (53.9%) underwent colonic stenting with a technical success rate of 71.0%. Patients who underwent emergency surgery were more likely to develop severe complications compared with patients who underwent successful colonic stenting, but the difference was not statistically significant (odds ratio [OR] 2.84; 95% confidence interval [CI] 0.71-11.3, p = 0.139). Patients were followed up for a median of 48.3 months (3.1-111) in the stenting group and 51.2 months (1.2-117.1) in the emergency surgery group. Recurrence rates between colonic stenting and emergency surgery were similar (25.6% vs. 21.3%, p = 0.500), with more anastomotic and peritoneal recurrences were noted in the emergency surgery group. 5 year disease free survival (77% vs. 73%, p = 0.708) and overall survival (86% vs. 62%, p = 0.064) also were similar.CONCLUSIONS: Patients who underwent endoscopic stenting for large bowel obstruction have comparable long-term outcomes as those who undergo emergency surgery. The role of endoscopic stenting in obstructed colorectal cancers merits further evaluation.	NA	0
28054188	Predictive Factors for Active Surveillance of Subcentimeter Thyroid Nodules with Highly Suspicious US Features.	PURPOSE: This study was designed to assess the outcomes of subcentimeter thyroid nodules with highly suspicious ultrasonography (US) features and to investigate the predictive factors associated with malignancy and aggressive biological behavior to determine appropriate candidate factors for active surveillance.METHODS: Between June 2011 and December 2013, 1866 subcentimeter thyroid nodules with highly suspicious US features that were subjected to US-guided fine needle aspiration and subsequent surgery or US follow-up of at least 2 years were evaluated. A multivariate logistic regression analysis was performed to identify independent clinical characteristics and US features associated with the malignancy rate and aggressive biological behavior.RESULTS: Of the 1866 subcentimeter thyroid nodules, 821 (44.0%) were benign and 1045 (56.0%) were malignant. Age younger than 45 years, presence of microcalcification, and a taller than wide shape on US were associated independently with malignancy in the subcentimeter thyroid nodules (P &lt; 0.05). Of 1041 evaluated papillary microcarcinomas, a multivariate analysis revealed that male gender, presence of microcalcification, and a taller than wide on US were independently associated with lymph node metastasis and ATA intermediate risk (P &lt; 0.01).CONCLUSIONS: Age younger than 45 years, male gender, and subcentimeter thyroid nodules exhibiting microcalcification, and a taller than wide shape on US might be not good candidate factors for active surveillance.	NA	0
28055107	Results of a phase I-II study of fenretinide and rituximab for patients with indolent B-cell lymphoma and mantle cell lymphoma.	Fenretinide, a synthetic retinoid, induces apoptotic cell death in B-cell non-Hodgkin lymphoma (B-NHL) and acts synergistically with rituximab in preclinical models. We report results from a phase I-II study of fenretinide with rituximab for B-NHLs. Eligible diagnoses included indolent B-NHL or mantle cell lymphoma. The phase I design de-escalated from fenretinide at 900 mg/m(2) PO BID for days 1-5 of a 7-day cycle. The phase II portion added 375 mg/m(2) IV rituximab weekly on weeks 5-9 then every 3 months. Fenretinide was continued until progression or intolerance. Thirty-two patients were treated: 7 in phase I, and 25 in phase II of the trial. No dose-limiting toxicities were observed. The phase II component utilized fenretinide 900 mg/m(2) twice daily with rituximab. The most common treatment-related adverse events of grade 3 or higher were rash (n = 3) and neutropenia (n = 3). Responses were seen in 6 (24%) patients on the phase II study, with a median duration of response of 47 months (95% confidence interval, 2-56). The combination of fenretinide and rituximab was well tolerated, yielded a modest overall response rate, but with prolonged remission durations. Further study should focus on identifying the responsive subset of B-NHL.	NA	0
